1,1,0,0,0
1,2,0,10,20
1,3,1,15,65
2,1,0,0,0
2,2,0,15,20
2,3,1,20,50
3,1,0,0,0
3,2,0,5,50
3,3,1,10,65
4,1,0,0,0
4,2,0,10,5
4,3,1,15,35
5,1,0,0,0
5,2,0,5,5
5,3,1,20,20
6,1,0,0,0
6,2,0,5,35
6,3,1,15,50
7,1,0,0,0
7,2,0,10,35
7,3,1,20,50
8,1,0,0,0
8,2,0,15,5
8,3,1,20,65
9,1,1,0,0
9,2,0,5,5
9,3,0,10,50
10,1,0,0,0
10,2,1,5,65
10,3,0,10,80
11,1,1,0,0
11,2,0,5,20
11,3,0,20,35
12,1,1,0,0
12,2,0,5,20
12,3,0,15,35
13,1,1,0,0
13,2,0,5,50
13,3,0,20,65
14,1,1,0,0
14,2,0,10,5
14,3,0,15,50
15,1,1,0,0
15,2,0,15,5
15,3,0,20,20
16,1,1,0,0
16,2,0,10,35
16,3,0,15,65
17,1,0,0,0
17,2,0,5,5
17,3,1,10,50
18,1,0,0,0
18,2,0,5,65
18,3,1,10,80
19,1,0,0,0
19,2,1,5,20
19,3,0,20,35
20,1,0,0,0
20,2,1,5,20
20,3,0,15,35
21,1,0,0,0
21,2,1,5,50
21,3,0,20,65
22,1,0,0,0
22,2,0,10,5
22,3,1,15,50
23,1,1,0,0
23,2,0,15,5
23,3,0,20,20
24,1,0,0,0
24,2,0,10,35
24,3,1,15,65
25,1,0,0,0
25,2,0,5,20
25,3,1,10,50
26,1,0,0,0
26,2,1,5,50
26,3,0,15,65
27,1,0,0,0
27,2,0,10,20
27,3,1,20,35
28,1,0,0,0
28,2,1,5,65
28,3,0,15,80
29,1,0,0,0
29,2,0,10,5
29,3,1,15,20
30,1,0,0,0
30,2,1,15,5
30,3,0,20,35
31,1,0,0,0
31,2,1,5,35
31,3,0,20,50
32,1,0,0,0
32,2,0,5,5
32,3,1,10,65
33,1,1,0,0
33,2,0,5,5
33,3,0,10,50
34,1,1,0,0
34,2,0,5,65
34,3,0,10,80
35,1,0,0,0
35,2,1,5,20
35,3,0,20,35
36,1,0,0,0
36,2,1,5,20
36,3,0,15,35
37,1,0,0,0
37,2,1,5,50
37,3,0,20,65
38,1,1,0,0
38,2,0,10,5
38,3,0,15,50
39,1,1,0,0
39,2,0,15,5
39,3,0,20,20
40,1,1,0,0
40,2,0,10,35
40,3,0,15,65
41,1,0,0,0
41,2,1,10,20
41,3,0,15,65
42,1,1,0,0
42,2,0,15,20
42,3,0,20,50
43,1,0,0,0
