keys,0
0,0.465426
1,0.859248
2,0.310284
3,0.5728319999999999
4,0.28068768
5,0.25909632
6,0.09356256
7,0.17273088
8,0.11027016
9,0.20357567999999998
10,0.07351344000000001
11,0.13571712
12,5.551115123125783e-17
13,0.363528
14,0.0
15,0.24235199999999996
16,0.47736
17,0.4406399999999999
18,0.0
19,0.29376
20,0.0
21,0.29743200000000003
22,0.0
23,0.19828800000000002
24,0.0859248
25,0.1586304
26,0.0572832
27,0.1057536
28,0.2577744
29,0.2379456
30,0.0859248
31,0.1586304
32,0.262548
33,0.48470399999999997
34,0.175032
35,0.32313600000000003
