keys,0
"(0, 0, 0, 0)",0.0
"(0, 0, 0, 1)",0.0
"(0, 0, 0, 2)",0.0
"(0, 0, 0, 3)",0.0
"(0, 0, 0, 4)",0.0
"(0, 0, 0, 5)",0.0
"(0, 0, 0, 6)",0.0
"(0, 0, 1, 0)",5.53342325973696
"(0, 0, 1, 1)",4.00372245792
"(0, 0, 1, 2)",2.17830384
"(0, 0, 1, 3)",0.0
"(0, 0, 1, 4)",0.0
"(0, 0, 1, 5)",0.0
"(0, 0, 1, 6)",0.0
"(0, 0, 2, 0)",3.5353417540230403
"(0, 0, 2, 1)",0.8453876799999999
"(0, 0, 2, 2)",-2.0116961600000005
"(0, 0, 2, 3)",0.0
"(0, 0, 2, 4)",0.0
"(0, 0, 2, 5)",0.0
"(0, 0, 2, 6)",0.0
"(0, 0, 3, 0)",-1.0563461200000015
"(0, 0, 3, 1)",-4.023392320000001
"(0, 0, 3, 2)",-7.0116961600000005
"(0, 0, 3, 3)",0.0
"(0, 0, 3, 4)",0.0
"(0, 0, 3, 5)",0.0
"(0, 0, 3, 6)",0.0
"(0, 1, 0, 0)",1.192212696674722
"(0, 1, 0, 1)",0.6996181961321014
"(0, 1, 0, 2)",0.29202220884347596
"(0, 1, 0, 3)",0.0
"(0, 1, 0, 4)",0.0
"(0, 1, 0, 5)",0.0
"(0, 1, 0, 6)",0.0
"(0, 1, 1, 0)",9.510084765688807
"(0, 1, 1, 1)",7.90486157579045
"(0, 1, 1, 2)",5.991289180407053
"(0, 1, 1, 3)",3.651567816959999
"(0, 1, 1, 4)",2.5705468799999998
"(0, 1, 1, 5)",1.3586399999999998
"(0, 1, 1, 6)",0.0
"(0, 1, 2, 0)",10.918968808103715
"(0, 1, 2, 1)",7.772892985012303
"(0, 1, 2, 2)",4.296011344326476
"(0, 1, 2, 3)",0.511411383040001
"(0, 1, 2, 4)",-1.261039999999999
"(0, 1, 2, 5)",-3.1013599999999997
"(0, 1, 2, 6)",0.0
"(0, 1, 3, 0)",7.756851172706986
"(0, 1, 3, 1)",3.838473047725659
"(0, 1, 3, 2)",-0.20099936550029507
"(0, 1, 3, 3)",-4.310378559999998
"(0, 1, 3, 4)",-6.202719999999999
"(0, 1, 3, 5)",-8.10136
"(0, 1, 3, 6)",0.0
"(1, 0, 0, 0)",0.0
"(1, 0, 0, 1)",0.0
"(1, 0, 0, 2)",0.0
"(1, 0, 0, 3)",0.0
"(1, 0, 0, 4)",0.0
"(1, 0, 0, 5)",0.0
"(1, 0, 0, 6)",0.0
"(1, 0, 1, 0)",3.911441992759296
"(1, 0, 1, 1)",2.8646123904000005
"(1, 0, 1, 2)",1.57896
"(1, 0, 1, 3)",0.0
"(1, 0, 1, 4)",0.0
"(1, 0, 1, 5)",0.0
"(1, 0, 1, 6)",0.0
"(1, 0, 2, 0)",4.682395178440705
"(1, 0, 2, 1)",3.1579200000000007
"(1, 0, 2, 2)",1.57896
"(1, 0, 2, 3)",0.0
"(1, 0, 2, 4)",0.0
"(1, 0, 2, 5)",0.0
"(1, 0, 2, 6)",0.0
"(1, 0, 3, 0)",4.736880000000001
"(1, 0, 3, 1)",3.1579200000000007
"(1, 0, 3, 2)",1.57896
"(1, 0, 3, 3)",0.0
"(1, 0, 3, 4)",0.0
"(1, 0, 3, 5)",0.0
"(1, 0, 3, 6)",0.0
"(1, 1, 0, 0)",1.5754018820669715
"(1, 1, 0, 1)",0.9851889318448119
"(1, 1, 0, 2)",0.4479938167071744
"(1, 1, 0, 3)",0.0
"(1, 1, 0, 4)",0.0
"(1, 1, 0, 5)",0.0
"(1, 1, 0, 6)",0.0
"(1, 1, 1, 0)",13.028825375243475
"(1, 1, 1, 1)",11.119036191389476
"(1, 1, 1, 2)",8.907993966281012
"(1, 1, 1, 3)",5.643790560000001
"(1, 1, 1, 4)",4.121208000000001
"(1, 1, 1, 5)",2.2644
"(1, 1, 1, 6)",0.0
"(1, 1, 2, 0)",19.615964400531844
"(1, 1, 2, 1)",16.090557273368063
"(1, 1, 2, 2)",11.751239582170212
"(1, 1, 2, 3)",6.71983344
"(1, 1, 2, 4)",4.5288
"(1, 1, 2, 5)",2.2644
"(1, 1, 2, 6)",0.0
"(1, 1, 3, 0)",21.858267260420515
"(1, 1, 3, 1)",17.05411472858197
"(1, 1, 3, 2)",11.947945314009598
"(1, 1, 3, 3)",6.793200000000001
"(1, 1, 3, 4)",4.5288
"(1, 1, 3, 5)",2.2644
"(1, 1, 3, 6)",0.0
"(2, 0, 0, 0)",0.0
"(2, 0, 0, 1)",0.0
"(2, 0, 0, 2)",0.0
"(2, 0, 0, 3)",0.0
"(2, 0, 0, 4)",0.0
"(2, 0, 0, 5)",0.0
"(2, 0, 0, 6)",0.0
"(2, 0, 1, 0)",3.9979733044607997
"(2, 0, 1, 1)",2.8144014623999998
"(2, 0, 1, 2)",1.4875272
"(2, 0, 1, 3)",0.0
"(2, 0, 1, 4)",0.0
"(2, 0, 1, 5)",0.0
"(2, 0, 1, 6)",0.0
"(2, 0, 2, 0)",0.8965696427391991
"(2, 0, 2, 1)",-1.0032656000000006
"(2, 0, 2, 2)",-2.9724728000000002
"(2, 0, 2, 3)",0.0
"(2, 0, 2, 4)",0.0
"(2, 0, 2, 5)",0.0
"(2, 0, 2, 6)",0.0
"(2, 0, 3, 0)",-3.923716960000002
"(2, 0, 3, 1)",-5.944945600000002
"(2, 0, 3, 2)",-7.9724728
"(2, 0, 3, 3)",0.0
"(2, 0, 3, 4)",0.0
"(2, 0, 3, 5)",0.0
"(2, 0, 3, 6)",0.0
"(2, 1, 0, 0)",0.9415888777565772
"(2, 1, 0, 1)",0.5578165174218656
"(2, 1, 0, 2)",0.23881232181390702
"(2, 1, 0, 3)",0.0
"(2, 1, 0, 4)",0.0
"(2, 1, 0, 5)",0.0
"(2, 1, 0, 6)",0.0
"(2, 1, 1, 0)",7.348462875558532
"(2, 1, 1, 1)",5.933151423341724
"(2, 1, 1, 2)",4.341212032982068
"(2, 1, 1, 3)",2.52633129984
"(2, 1, 1, 4)",1.7463052799999998
"(2, 1, 1, 5)",0.9057600000000001
"(2, 1, 1, 6)",0.0
"(2, 1, 2, 0)",6.5296040523313765
"(2, 1, 2, 1)",4.069970677261503
"(2, 1, 2, 2)",1.4619197273990703
"(2, 1, 2, 3)",-1.2833092198399987
"(2, 1, 2, 4)",-2.494399999999999
"(2, 1, 2, 5)",-3.7342399999999993
"(2, 1, 2, 6)",0.0
"(2, 1, 3, 0)",2.3179127485653033
"(2, 1, 3, 1)",-0.49325871214838435
"(2, 1, 3, 2)",-3.3400255809698987
"(2, 1, 3, 3)",-6.2045862399999985
"(2, 1, 3, 4)",-7.46848
"(2, 1, 3, 5)",-8.73424
"(2, 1, 3, 6)",0.0
